trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
231,False,"{'a': 0.8, 'e': 0.18374633193754078}",20,0,-13.417063875580718,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
232,False,"{'a': 0.8, 'e': 0.17784521772914214}",20,0,-28.891634612376603,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
233,False,"{'a': 0.8, 'e': 0.1719377011121125}",25,0,22.249061433146608,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
234,False,"{'a': 0.8, 'e': 0.1660239947564121}",30,20,6.7359343753186405,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.8, 'e': 0.16010431155483126}",25,0,-18.125697862254594,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
236,False,"{'a': 0.8, 'e': 0.15417886461532546}",20,13,13.966521025242278,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.8, 'e': 0.14824786725334482}",25,8,27.31617768102101,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.8, 'e': 0.14231153298415378}",35,21,1.9009205641865734,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
239,False,"{'a': 0.8, 'e': 0.13637007551514496}",30,18,21.121277503078687,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.8, 'e': 0.13042370873814554}",30,17,16.22664037503121,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.8, 'e': 0.12447264672171729}",20,15,-13.642488059032218,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
242,False,"{'a': 0.8, 'e': 0.11851710370345009}",35,19,10.800751740785582,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.8, 'e': 0.11255729408224939}",20,0,27.06835313539122,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
244,False,"{'a': 0.8, 'e': 0.10659343241061792}",20,14,9.873157234263008,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.8, 'e': 0.10062573338693172}",20,12,3.244341483500728,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.8, 'e': 0.09465441184771117}",20,9,19.731465948150188,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.8, 'e': 0.08867968275988676}",30,17,26.288030413009775,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.8, 'e': 0.0827017612130604}",25,14,-25.074505505082072,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
249,False,"{'a': 0.8, 'e': 0.07672086241176214}",25,19,8.50521968244778,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.8, 'e': 0.0707372016677029}",20,8,17.61069136967567,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.8, 'e': 0.06475099439202324}",20,0,-7.977351182739519,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
252,False,"{'a': 0.8, 'e': 0.058762456087538564}",20,15,11.290540383418458,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.8, 'e': 0.05277180234098107}",25,5,38.95297653430083,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.8, 'e': 0.04677924881523865}",25,13,24.481931882888595,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,5,23.500220230432525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,9,22.0824811911164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,14,17.565627304600103,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,12,16.970481716689402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,21,16.538331120401242,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,1,31.941086335122314,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,7,23.634717484766956,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,30.766727008451717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,36.552554982426926,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,13,12.755258132209178,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
