trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.8, 'e': 0.9780309147241483}",30,0,-153.647172849968,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
43,False,"{'a': 0.8, 'e': 0.9769763942068623}",25,0,-76.14660970210114,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.8, 'e': 0.9758974493306055}",25,0,-64.82751688718693,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
45,False,"{'a': 0.8, 'e': 0.9747941070689433}",20,5,-191.74856588219956,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 3}",1
46,False,"{'a': 0.8, 'e': 0.9736663950053749}",25,0,-130.22443127380734,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.8, 'e': 0.972514341332643}",25,0,-203.03206273121768,"{0: 12, 1: 6, 2: 2, 3: 2, 4: 3}",0
48,False,"{'a': 0.8, 'e': 0.9713379748520297}",20,0,-26.049661485745695,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
49,False,"{'a': 0.8, 'e': 0.9701373249726354}",20,0,-60.50802817269687,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.9689124217106447}",30,0,-84.79804089939859,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",1
51,False,"{'a': 0.8, 'e': 0.9676632956885756}",25,0,-114.42662089429645,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
52,False,"{'a': 0.8, 'e': 0.9663899781345132}",20,0,-130.81078062476936,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
53,False,"{'a': 0.8, 'e': 0.9650925008813303}",25,0,-104.03970376748022,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
54,False,"{'a': 0.8, 'e': 0.9637708963658905}",25,0,-80.40577772812239,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.962425197628238}",20,0,-68.67498564056326,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.9610554383107709}",20,0,-48.25026390305411,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.8, 'e': 0.9596616526574011}",25,3,-156.19291180137864,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 3}",1
58,False,"{'a': 0.8, 'e': 0.9582438755126972}",25,0,-102.29802591245723,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
59,False,"{'a': 0.8, 'e': 0.9568021423210139}",25,14,-28.609282881149923,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.8, 'e': 0.955336489125606}",25,0,-233.5919664505841,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
61,False,"{'a': 0.8, 'e': 0.9538469525677271}",20,0,-0.57912326540255,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.9523335698857134}",25,4,-136.3779683775763,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 3}",1
63,False,"{'a': 0.8, 'e': 0.9507963789140532}",20,0,-211.65090981186128,"{0: 8, 1: 4, 2: 3, 3: 2, 4: 3}",0
64,False,"{'a': 0.8, 'e': 0.9492354180824408}",20,0,-125.72167570245594,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.9476507264148157}",20,0,-138.99692743436566,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
66,False,"{'a': 0.8, 'e': 0.946042343528387}",30,0,-161.71526591513043,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
67,False,"{'a': 0.8, 'e': 0.944410309632643}",25,8,-102.21942696175205,"{0: 9, 1: 3, 2: 2, 3: 2, 4: 1}",1
68,False,"{'a': 0.8, 'e': 0.9427546655283462}",30,0,-194.4565810160726,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
69,False,"{'a': 0.8, 'e': 0.941075452606513}",20,0,-90.65373967835974,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
70,False,"{'a': 0.8, 'e': 0.9393727128473789}",25,0,-122.92986669151728,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.8, 'e': 0.9376464888193493}",25,0,-72.65983268174327,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.8, 'e': 0.9358968236779348}",20,0,-100.38939736210654,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.8, 'e': 0.9341237611646731}",20,0,-153.73750848270004,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
74,False,"{'a': 0.8, 'e': 0.9323273456060345}",20,0,-61.74621840805928,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.8, 'e': 0.9305076219123143}",25,0,-88.17226469361594,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
76,False,"{'a': 0.8, 'e': 0.9286646355765102}",20,0,-80.60833024304102,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
77,False,"{'a': 0.8, 'e': 0.9267984326731847}",30,0,-148.04191602151192,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
78,False,"{'a': 0.8, 'e': 0.9249090598573131}",30,0,-298.99785538897845,"{0: 13, 1: 4, 2: 6, 3: 2, 4: 5}",0
79,False,"{'a': 0.8, 'e': 0.9229965643631173}",25,0,-199.47588944432016,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
80,False,"{'a': 0.8, 'e': 0.9210609940028851}",20,0,-24.417254648456428,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.8, 'e': 0.9191023971657747}",20,0,-59.05333503854901,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
82,False,"{'a': 0.8, 'e': 0.9171208228166051}",20,0,-132.0506220166501,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
83,False,"{'a': 0.8, 'e': 0.9151163204946318}",20,0,-85.36788671280843,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
84,False,"{'a': 0.8, 'e': 0.9130889403123083}",25,0,-146.52532530222774,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
85,False,"{'a': 0.8, 'e': 0.9110387329540337}",20,0,-14.507760947498557,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.8, 'e': 0.9089657496748851}",20,7,-88.80271946739444,"{0: 5, 1: 2, 2: 5, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.9068700422993367}",20,0,-113.88883232872799,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
88,False,"{'a': 0.8, 'e': 0.9047516632199635}",25,0,-129.8424840978834,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
89,False,"{'a': 0.8, 'e': 0.9026106653961321}",25,0,-132.13000051883753,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
90,False,"{'a': 0.8, 'e': 0.9004471023526769}",30,0,-102.65594674093863,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
91,False,"{'a': 0.8, 'e': 0.8982610281785611}",25,17,-4.467856983309847,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.8960524975255253}",20,0,-98.3330710232895,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
93,False,"{'a': 0.8, 'e': 0.8938215656067205}",20,5,-65.36194272982802,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 1}",1
94,False,"{'a': 0.8, 'e': 0.8915682881953289}",30,13,-90.65936557137736,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
95,False,"{'a': 0.8, 'e': 0.8892927216231682}",25,0,-108.71083688652702,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
96,False,"{'a': 0.8, 'e': 0.8869949227792842}",25,0,-92.47904314065971,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
97,False,"{'a': 0.8, 'e': 0.8846749491085283}",30,6,-78.4194454872214,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 1}",1
98,False,"{'a': 0.8, 'e': 0.8823328586101216}",20,0,-75.15310472344804,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
99,False,"{'a': 0.8, 'e': 0.8799687098362042}",25,0,-154.9378512886729,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
100,False,"{'a': 0.8, 'e': 0.8775825618903728}",30,0,-102.5638994887523,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
101,False,"{'a': 0.8, 'e': 0.8751744744262013}",20,0,-51.99592889432732,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.8, 'e': 0.8727445076457513}",25,12,1.0525898614578597,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.8, 'e': 0.8702927222980654}",30,8,-161.48539039236815,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 2}",1
104,False,"{'a': 0.8, 'e': 0.8678191796776499}",25,0,-27.78302625133201,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
105,False,"{'a': 0.8, 'e': 0.8653239416229412}",30,0,-243.5122952915573,"{0: 13, 1: 3, 2: 10, 3: 1, 4: 3}",0
106,False,"{'a': 0.8, 'e': 0.862807070514761}",20,0,-48.34011054693405,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
107,False,"{'a': 0.8, 'e': 0.8602686292747557}",25,0,-165.95324234367197,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
108,False,"{'a': 0.8, 'e': 0.8577086813638242}",25,0,-60.420897953740855,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
109,False,"{'a': 0.8, 'e': 0.8551272907805307}",20,0,-29.86319703287645,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
110,False,"{'a': 0.8, 'e': 0.8525245220595057}",35,0,-124.66670414311741,"{0: 21, 1: 3, 2: 10, 3: 0, 4: 1}",0
111,False,"{'a': 0.8, 'e': 0.8499004402698315}",20,0,-82.87199734179137,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
112,False,"{'a': 0.8, 'e': 0.8472551110134161}",20,0,-35.52738597535731,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
113,False,"{'a': 0.8, 'e': 0.8445886004233532}",20,15,-3.1405686441130296,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
114,False,"{'a': 0.8, 'e': 0.8419009751622687}",30,0,-92.21703952209803,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
115,False,"{'a': 0.8, 'e': 0.8391923024206541}",30,0,-124.41028846838515,"{0: 16, 1: 3, 2: 9, 3: 2, 4: 0}",0
