trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9999875000260416}",30,0,-198.60279892361788,"{0: 19, 1: 3, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.8, 'e': 0.9999500004166653}",20,0,-105.23455146214275,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.8, 'e': 0.9998875021093592}",25,0,-86.1732485735971,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9998000066665778}",20,0,-39.76556239770103,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
5,False,"{'a': 0.8, 'e': 0.9996875162757026}",30,0,-150.25991221609218,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.8, 'e': 0.9995500337489875}",20,0,-114.61937002530536,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9993875625234886}",20,0,-20.974852965132673,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
8,False,"{'a': 0.8, 'e': 0.9992001066609779}",30,0,-112.87484371130553,"{0: 17, 1: 5, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.8, 'e': 0.9989876708478425}",20,0,-43.03588585991281,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.8, 'e': 0.9987502603949663}",25,0,-104.95281560768035,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
11,False,"{'a': 0.8, 'e': 0.9984878812375985}",20,0,-39.07825415822768,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.9982005399352042}",30,0,-178.32936497456066,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
13,False,"{'a': 0.8, 'e': 0.9978882436713011}",20,0,-132.2280050272402,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.9975510002532796}",25,0,-167.1799652763607,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
15,False,"{'a': 0.8, 'e': 0.9971888181122075}",30,0,-95.31005676915615,"{0: 19, 1: 4, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.8, 'e': 0.9968017063026194}",35,0,-107.78535364206553,"{0: 21, 1: 3, 2: 10, 3: 1, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.9963896745022904}",20,0,-85.5401092686218,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.8, 'e': 0.9959527330119943}",35,0,-305.0345075779533,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 6}",0
19,False,"{'a': 0.8, 'e': 0.9954908927552453}",20,0,-66.82947610548761,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.9950041652780257}",25,0,-99.28938881749463,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.8, 'e': 0.9944925627484974}",20,0,-46.97485210032687,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.8, 'e': 0.9939560979566968}",30,0,-56.295768856450934,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",1
23,False,"{'a': 0.8, 'e': 0.9933947843142158}",20,0,-50.00231903032496,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.8, 'e': 0.9928086358538663}",20,0,-107.93248873591975,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.992197667229329}",25,0,-87.8179705299276,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.8, 'e': 0.9915618937147881}",20,0,-81.10160229749174,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
27,False,"{'a': 0.8, 'e': 0.9909013312045479}",20,0,-50.61405233890388,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
28,False,"{'a': 0.8, 'e': 0.9902159962126371}",35,0,-123.65151516573422,"{0: 25, 1: 2, 2: 4, 3: 3, 4: 1}",0
29,False,"{'a': 0.8, 'e': 0.9895059058723947}",25,0,-43.02699342818996,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.8, 'e': 0.9887710779360422}",20,0,-64.11906650095204,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
31,False,"{'a': 0.8, 'e': 0.9880115307742399}",35,0,-164.76615557649373,"{0: 19, 1: 3, 2: 12, 3: 0, 4: 1}",0
32,False,"{'a': 0.8, 'e': 0.9872272833756269}",20,0,-126.75975455696876,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
33,False,"{'a': 0.8, 'e': 0.9864183553463477}",20,3,-10.531807643154647,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.8, 'e': 0.9855847669095608}",20,0,-97.34440417022593,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
35,False,"{'a': 0.8, 'e': 0.9847265389049334}",20,0,-61.629708646907396,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
36,False,"{'a': 0.8, 'e': 0.9838436927881214}",30,0,-143.6762185652559,"{0: 18, 1: 4, 2: 5, 3: 1, 4: 2}",0
37,False,"{'a': 0.8, 'e': 0.9829362506302315}",25,0,-93.3394664573074,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
38,False,"{'a': 0.8, 'e': 0.9820042351172703}",20,9,-83.12641570168032,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 1}",1
39,False,"{'a': 0.8, 'e': 0.9810476695495772}",20,0,-204.33910480295543,"{0: 9, 1: 3, 2: 4, 3: 0, 4: 4}",0
40,False,"{'a': 0.8, 'e': 0.9800665778412416}",20,0,-30.548972646288323,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
41,False,"{'a': 0.8, 'e': 0.9790609845195051}",25,0,-108.77105455633608,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
42,False,"{'a': 0.8, 'e': 0.9780309147241483}",25,0,-149.40577588541123,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
43,False,"{'a': 0.8, 'e': 0.9769763942068623}",25,10,-105.98090270758979,"{0: 8, 1: 0, 2: 4, 3: 2, 4: 1}",1
44,False,"{'a': 0.8, 'e': 0.9758974493306055}",25,10,-47.398241372340635,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
45,False,"{'a': 0.8, 'e': 0.9747941070689433}",20,0,-88.28377034477333,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
46,False,"{'a': 0.8, 'e': 0.9736663950053749}",20,2,-49.5241544358283,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 0}",1
47,False,"{'a': 0.8, 'e': 0.972514341332643}",20,2,-78.64288540912285,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 1}",1
48,False,"{'a': 0.8, 'e': 0.9713379748520297}",20,0,-127.67503415591574,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.8, 'e': 0.9701373249726354}",20,0,-53.2486750786653,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
50,False,"{'a': 0.8, 'e': 0.9689124217106447}",25,0,-84.0124209969754,"{0: 17, 1: 2, 2: 2, 3: 4, 4: 0}",0
51,False,"{'a': 0.8, 'e': 0.9676632956885756}",25,0,-179.27748347489887,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
52,False,"{'a': 0.8, 'e': 0.9663899781345132}",20,10,-16.153615829787736,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.8, 'e': 0.9650925008813303}",25,0,-103.84342710828514,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.8, 'e': 0.9637708963658905}",25,0,-120.51213893468595,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
55,False,"{'a': 0.8, 'e': 0.962425197628238}",35,0,-142.7547671544307,"{0: 22, 1: 5, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.8, 'e': 0.9610554383107709}",20,6,-171.36920918374335,"{0: 7, 1: 0, 2: 2, 3: 2, 4: 3}",1
57,False,"{'a': 0.8, 'e': 0.9596616526574011}",25,0,-125.60500823660402,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
58,False,"{'a': 0.8, 'e': 0.9582438755126972}",25,0,-224.2122011054379,"{0: 13, 1: 3, 2: 4, 3: 1, 4: 4}",0
59,False,"{'a': 0.8, 'e': 0.9568021423210139}",30,0,-169.76479244081662,"{0: 13, 1: 7, 2: 7, 3: 2, 4: 1}",0
60,False,"{'a': 0.8, 'e': 0.955336489125606}",20,0,-79.69827462092547,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
61,False,"{'a': 0.8, 'e': 0.9538469525677271}",35,0,-111.12961108029229,"{0: 24, 1: 5, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.8, 'e': 0.9523335698857134}",35,0,-202.21839617390705,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 3}",0
63,False,"{'a': 0.8, 'e': 0.9507963789140532}",25,0,-106.69859114891221,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
64,False,"{'a': 0.8, 'e': 0.9492354180824408}",25,0,-104.61343264900593,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
65,False,"{'a': 0.8, 'e': 0.9476507264148157}",20,9,9.603029058543967,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.8, 'e': 0.946042343528387}",20,6,-77.08724456267142,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.8, 'e': 0.944410309632643}",20,0,-25.777568553208503,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
68,False,"{'a': 0.8, 'e': 0.9427546655283462}",20,13,-48.07823041683839,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 1}",1
69,False,"{'a': 0.8, 'e': 0.941075452606513}",20,12,-33.87736904405841,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
70,False,"{'a': 0.8, 'e': 0.9393727128473789}",20,0,-97.45718054678552,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
71,False,"{'a': 0.8, 'e': 0.9376464888193493}",20,0,-44.379831943982715,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
72,False,"{'a': 0.8, 'e': 0.9358968236779348}",20,0,-58.772213846904485,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
